,Title,Distributor,Runtime,Rating,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,Budget,Domestic_Gross
161,Terminator 3: Rise of the Machines,Warner Bros.,109.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000000,150358296
162,Terminator Salvation,Warner Bros.,115.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000,125322469
163,Terminator: Dark Fate,Paramount Pictures,128.0,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000000,62253077
164,Alvin and the Chipmunks,Twentieth Century Fox,92.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55000000,217326974
165,The Hangover,Warner Bros.,100.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000,277322503
166,The Hangover Part II,Warner Bros.,102.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000,254464305
167,The Conjuring,Warner Bros.,112.0,R,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,20000000,137400141
168,The Nun,Warner Bros.,96.0,R,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,22000000,117450119
169,Annabelle Comes Home,Warner Bros.,106.0,R,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,27000000,74152591
170,The Lego Movie,Warner Bros.,100.0,PG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000,257784718
171,Meet the Fockers,Universal Pictures,115.0,PG-13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,60000000,279167575
172,Meet the Parents,Universal Pictures,108.0,PG-13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,55000000,166225040
173,Little Fockers,Universal Pictures,98.0,PG-13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,100000000,148438600
174,Prometheus,Twentieth Century Fox,124.0,R,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125000000,126477084
175,Alien: Covenant,Twentieth Century Fox,122.0,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,97000000,74262031
176,Alien: Resurrection,Twentieth Century Fox,109.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60000000,47795018
177,The Matrix,Warner Bros.,136.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000000,173396389
178,The Matrix Revolutions,Warner Bros.,129.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000000,139270910
180,Cars 2,Walt Disney Studios Motion Pictures,106.0,G,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000,191450875
181,Cars 3,Walt Disney Studios Motion Pictures,102.0,G,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175000000,152901115
184,Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,112.0,PG-13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135000000,82051601
185,TMNT,Warner Bros.,87.0,PG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000,54149098
186,Kong: Skull Island,Warner Bros.,118.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000000,168052812
187,Godzilla: King of the Monsters,Warner Bros.,132.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000000,110500138
188,Godzilla vs. Kong,Warner Bros.,113.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,155000000,99119000
189,Ocean's Eleven,Warner Bros.,116.0,PG-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,85000000,183417150
190,Ocean's Twelve,Warner Bros.,125.0,PG-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,110000000,125531634
191,Ocean's Thirteen,Warner Bros.,122.0,PG-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,85000000,117144465
192,Monsters University,Walt Disney Studios Motion Pictures,104.0,G,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000,268488329
193,How to Train Your Dragon,DreamWorks,98.0,PG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165000000,217581232
194,How to Train Your Dragon 2,Twentieth Century Fox,102.0,PG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145000000,177002924
195,How to Train Your Dragon: The Hidden World,Universal Pictures,104.0,PG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000000,160799505
196,The Mummy Returns,Universal Pictures,130.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98000000,202007640
197,The Mummy,Universal Pictures,111.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000000,80101125
198,The Mummy,Universal Pictures,111.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000,155385488
199,The Mummy,Universal Pictures,111.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195000000,80101125
200,The Mummy,Universal Pictures,111.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000,155385488
201,The Mummy: Tomb of the Dragon Emperor,Universal Pictures,112.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000000,102491776
202,The Scorpion King,Universal Pictures,92.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000,90580000
207,Night at the Museum,Twentieth Century Fox,108.0,PG,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,110000000,250863268
